"","Time","X","Y","SM"
"4791",11,1040,910,39.4
"4792",11,1040,900,42
"4793",11,1040,890,46.3
"4794",11,1040,880,45
"4795",11,1040,870,36.6
"4796",11,1040,860,35
"4797",11,1040,850,33.9
"4798",11,1040,840,33.6
"4799",11,1040,830,30.2
"4800",11,1060,870,37.8
"4801",11,1060,880,39
"4802",11,1060,890,47.1
"4803",11,1060,900,47.5
"4804",11,1060,910,39.4
"4805",11,1060,920,37.4
"4806",11,1060,930,39.7
"4807",11,1060,940,39.3
"4808",11,1060,950,35.8
"4809",11,1060,960,38.9
"4810",11,1060,970,38.1
"4811",11,1060,980,36.1
"4812",11,1060,990,31.4
"4813",11,1060,1000,36
"4814",11,1060,1010,35.6
"4815",11,1060,1020,29.1
"4816",11,1080,1020,25.5
"4817",11,1080,1010,34
"4818",11,1080,1000,37.2
"4819",11,1080,990,38
"4820",11,1080,980,39.6
"4821",11,1080,970,38.4
"4822",11,1080,960,36.9
"4823",11,1080,950,38.6
"4824",11,1080,940,39.4
"4825",11,1080,930,39.4
"4826",11,1100,980,37.5
"4827",11,1100,990,37.8
"4828",11,1100,1000,38
"4829",11,1100,1010,36.6
"4830",11,1100,1020,23.6
"4831",11,1060,830,32.6
"4832",11,1060,840,33.2
"4833",11,1060,850,36.1
"4834",11,1060,860,32.7
"4835",11,1080,920,39.9
"4836",11,1080,910,47.2
"4837",11,1080,900,47.4
"4838",11,1080,890,39.3
"4839",11,1080,880,36.8
"4840",11,1080,870,35.4
"4841",11,1080,860,32.9
"4842",11,1080,850,33.9
"4843",11,1080,840,31.8
"4844",11,1080,830,30.3
"4845",11,1080,820,33.1
"4846",11,1100,820,29.6
"4847",11,1100,830,31.6
"4848",11,1100,840,32.6
"4849",11,1100,850,30.1
"4850",11,1100,860,36
"4851",11,1100,870,32.7
"4852",11,1100,880,34.8
"4853",11,1100,890,34.8
"4854",11,1100,900,38.2
"4855",11,1100,910,47.9
"4856",11,1100,920,47.2
"4857",11,1100,930,39.8
"4858",11,1100,940,39.8
"4859",11,1100,950,38.8
"4860",11,1100,960,39.5
"4861",11,1100,970,44.5
"4862",11,1120,1020,24.4
"4863",11,1120,1010,37.4
"4864",11,1120,1000,38.6
"4865",11,1120,990,37.9
"4866",11,1120,980,42.6
"4867",11,1120,970,41.7
"4868",11,1120,960,39.4
"4869",11,1120,950,38.8
"4870",11,1120,940,40.9
"4871",11,1120,930,41.4
"4872",11,1120,920,52.8
"4873",11,1120,910,47.9
"4874",11,1120,900,36.1
"4875",11,1120,890,34.3
"4876",11,1120,880,31.8
"4877",11,1120,870,35.2
"4878",11,1120,860,30.8
"4879",11,1120,850,29.9
"4880",11,1120,840,34.8
"4881",11,1120,830,30.7
"4882",11,1140,830,35.8
"4883",11,1140,840,32.2
"4884",11,1140,850,33.7
"4885",11,1140,860,30.2
"4886",11,1140,870,32
"4887",11,1140,880,34
"4888",11,1140,890,30.7
"4889",11,1140,900,34.4
"4890",11,1140,910,39.6
"4891",11,1140,920,47.9
"4892",11,1140,930,44.9
"4893",11,1140,940,39.4
"4894",11,1140,950,39.5
"4895",11,1140,960,38.6
"4896",11,1140,970,38
"4897",11,1140,980,38.1
"4898",11,1140,990,39
"4899",11,1140,1000,42
"4900",11,1140,1010,36.2
"4901",11,1160,1020,25.6
"4902",11,1160,1010,38.7
"4903",11,1160,1000,39.4
"4904",11,1160,990,39
"4905",11,1160,980,39.4
"4906",11,1160,970,40.6
"4907",11,1160,960,38.5
"4908",11,1160,950,37.9
